"Package","Version"
"dplyr","1.1.4"
"eurostat","4.0.0"
"lubridate","1.9.4"
"readr","2.1.6"
"sf","1.0-22"
"stringi","1.8.7"
"tidyr","1.3.1"
"yaml","2.3.10"
"rnaturalearth","1.1.0"
"rnaturalearthdata","1.0.0"
"scales","1.4.0"
"rnaturalearthhires","1.0.0.9000"
"ggtern","3.5.0"
"ggplot2","3.5.2"
