id,lf_pri,lf_sec,lf_ter
AT11,0.03373313343328336,0.26124437781109444,0.646551724137931
AT12,0.05625310790651417,0.24378418697165588,0.6999005469915465
AT13,0.0025881786445166722,0.1433730588660166,0.8515107740459853
AT21,0.05641124374278013,0.25933769734308815,0.6675009626492107
AT22,0.06097972972972973,0.29214527027027026,0.6440878378378379
AT31,0.06223147153598282,0.33129699248120303,0.6035848549946294
AT32,0.04147133068878471,0.24450054093040027,0.700324558240173
AT33,0.03948588843248973,0.26103087319464685,0.6921955744004239
AT34,0.011221945137157107,0.3508728179551122,0.5847880299251871
BE10,0,0.12765479267333407,0.8707719968535791
BE21,0.006018518518518519,0.24464285714285713,0.7483465608465608
BE22,0.009066305818673884,0.2510148849797023,0.7347767253044655
BE23,0.015400875736071266,0.24248829835422014,0.7409029140872717
BE24,0.005595116988809766,0.15808748728382502,0.8335707019328585
BE25,0.024766899766899768,0.27136752136752135,0.7005633255633256
BE31,0,0.14473684210526314,0.8307833537331701
BE32,0.015002098195551825,0.20352496852706672,0.7758078052874527
BE33,0.01126516464471404,0.21143847487001732,0.769744986382768
BE34,0.03130434782608695,0.1965217391304348,0.7434782608695653
BE35,0.015384615384615384,0.1713527851458886,0.7976127320954907
BG31,0.0796410544026921,0.33688539914002624,0.5677696765750607
BG32,0.09593023255813954,0.37239902080783355,0.5215728274173806
BG33,0.0783087315486615,0.2654490868151113,0.6441080810607955
BG34,0.08210526315789474,0.324093567251462,0.5775438596491228
BG41,0.022952946459757498,0.23207424779202634,0.7431265904894966
BG42,0.10399460643856398,0.3462834990729816,0.5414630035395247
CH01,0.024924471299093656,0.1513091641490433,0.8237034239677745
CH02,0.04469600858787937,0.23265345954913633,0.7225529423245828
CH03,0.022763451130213306,0.21012416427889205,0.7671919770773639
CH04,0.016623741512526338,0.14762350737532193,0.8358698197143526
CH05,0.044644206073424994,0.2553255778818553,0.7001057561565192
CH06,0.049578846358886874,0.2325407825994243,0.7180936133916196
CH07,0.018658892128279883,0.1661807580174927,0.806997084548105
CY00,0.03636864581898333,0.17040914726546358,0.79294668687147
